address_id,street,city,state,zip_code,country,type
ADRS10815,99454 Anderson Mews Apt. 656,Kelleyshire,Oklahoma,40989,Wallis and Futuna,Home
ADRS22471,868 Judith Trail,Port Matthew,Minnesota,62726,Tanzania,Home
ADRS28843,7515 Wilson Junctions Apt. 538,North Jamesfort,Vermont,37626,Mali,Home
ADRS22295,09916 Mary Turnpike Apt. 405,Lorettaton,Nebraska,12881,Paraguay,Home
ADRS14268,842 Smith Corner,South Emily,Tennessee,20198,Kuwait,Home
ADRS26988,3148 Nancy Village Apt. 881,East Seth,Washington,40054,Kiribati,Work
ADRS13768,27783 Finley Plain Suite 558,South Johnchester,North Carolina,27531,Argentina,Work
ADRS25483,916 Mcguire Village,East Markhaven,Wisconsin,73759,Serbia,Home
ADRS20805,9775 Smith Islands Suite 422,Maciaston,Wisconsin,32461,El Salvador,Home
ADRS25150,9240 Conley Mount Suite 535,Elizabethland,Kansas,02620,Australia,Home
ADRS19243,81480 Hernandez Pike,Vasquezborough,California,07024,Togo,Home
ADRS19905,4459 Joseph Courts Suite 204,Port Amybury,Wyoming,21180,Costa Rica,Home
ADRS26502,987 Michael Prairie Suite 124,Cherylmouth,Colorado,28102,Nepal,Home
ADRS29998,3926 Rachel Fall Apt. 869,Andrewshire,Virginia,91467,Madagascar,Home
ADRS19776,0301 Farley Overpass Suite 018,West Nicole,Indiana,51107,Cook Islands,Home
ADRS26193,6511 Lee Lake Suite 196,Sharonhaven,California,68956,Malta,Home
ADRS16580,215 Lori Pass Apt. 637,Lisaburgh,Oklahoma,94999,Ukraine,Home
ADRS18396,085 Brandon Ville Suite 839,Franklinchester,Minnesota,45479,Svalbard & Jan Mayen Islands,Work
ADRS21570,217 Benjamin Forks,North Tiffanyborough,Arkansas,15381,Seychelles,Home
ADRS17554,08252 Mark Greens Apt. 597,Steeleborough,Oregon,52463,Burundi,Home
ADRS28412,042 Shannon Square Apt. 162,Lake Kristaville,South Dakota,89951,Saint Helena,Home
ADRS12414,660 Joseph Stream Apt. 410,West Mary,New Hampshire,58512,Anguilla,Home
ADRS17639,257 Carl Ferry,East Amy,Maine,76026,Myanmar,Work
ADRS16649,80514 Tyler River,North Kurt,Nevada,48287,Saint Lucia,Home
ADRS29775,5775 Jessica Stream Apt. 561,Franciscoview,North Carolina,43775,Monaco,Home
ADRS27790,956 Jenkins Mountain Suite 820,New Charlesside,Utah,40711,Mauritius,Home
ADRS11131,8117 Joshua Ville Apt. 813,Johnsonfort,Virginia,59334,Guatemala,Home
ADRS10534,337 Donald Burg,New John,Colorado,71774,Dominican Republic,Home
ADRS10605,31417 Angela Place Apt. 522,Teresaside,Kentucky,12486,Zimbabwe,Home
ADRS26401,105 Nathan Plains Suite 038,Riceburgh,North Dakota,76020,Jersey,Home
ADRS15144,14805 Wright Alley Suite 706,Brettport,Arkansas,98716,Anguilla,Work
ADRS12244,5725 Ruiz Plains Suite 252,Lake James,Nevada,09243,Cyprus,Home
ADRS24392,2633 Victoria Throughway,Charlesport,Louisiana,53958,Falkland Islands (Malvinas),Work
ADRS12202,00882 Jeffrey Garden Apt. 825,West Mary,Massachusetts,83913,Iceland,Home
