organization,practitioner_id,first_name,last_name,date_of_birth,gender,address,phone_number,email,active_status
ORG153,PRAC1233,Anthony,Hall,1972-04-28,Male,ADRS28860,7364013513,davislorraine@example.org,False
ORG101,PRAC1502,Diana,Armstrong,1957-08-29,Male,ADRS27633,6809471291,williethomas@example.com,False
ORG152,PRAC1023,Jasmine,Davis,1948-12-16,Male,ADRS27374,6294583513,cordovapatricia@example.net,True
ORG140,PRAC1425,Dana,Fuller,1951-06-18,Female,ADRS29855,6760732227,stevennguyen@example.org,False
ORG115,PRAC1511,Jennifer,Liu,1970-09-23,Male,ADRS28483,8745262932,ashley32@example.org,False
ORG189,PRAC1595,William,Jacobs,1983-10-13,Female,ADRS26770,6545750481,keithcole@example.org,True
ORG102,PRAC1319,Joshua,Bell,1980-02-08,Female,ADRS29066,8839521210,lisa52@example.com,False
ORG156,PRAC1520,Colleen,Myers,1995-05-07,Female,ADRS26486,6901195876,martinezdavid@example.com,False
ORG135,PRAC1044,Keith,Williams,1987-04-02,Male,ADRS28621,7910358438,andrewbradley@example.com,False
ORG190,PRAC1544,Lucas,Jimenez,1967-07-08,Female,ADRS29514,8248292116,heatherwyatt@example.net,False
ORG129,PRAC1763,Morgan,Simmons,1970-01-03,Female,ADRS28249,6996284948,ryanevans@example.org,True
ORG108,PRAC1998,Adam,Kelly,1943-11-24,Female,ADRS27975,8700397936,shawjeremy@example.net,False
ORG142,PRAC1438,Lori,Garcia,1990-02-02,Female,ADRS26991,7808870333,jessicaarnold@example.net,True
ORG177,PRAC1734,Robert,Johnson,1952-08-01,Male,ADRS26973,8536647616,michael59@example.org,True
ORG164,PRAC1147,Gina,Newman,1972-05-31,Female,ADRS28450,6381266271,acervantes@example.net,True
ORG128,PRAC1716,Emily,Jones,2004-07-26,Female,ADRS29759,8848856685,pgreen@example.org,True
ORG195,PRAC1742,Fred,Carter,1965-10-04,Female,ADRS29525,6205868481,ymiller@example.com,True
ORG166,PRAC1990,Kevin,Blackburn,1983-03-19,Male,ADRS26197,9597836556,michaelelizabeth@example.net,True
ORG167,PRAC1930,Kimberly,Scott,1985-07-09,Male,ADRS29890,8174494063,courtneygraham@example.net,True
ORG155,PRAC1648,Lauren,Myers,1980-08-01,Female,ADRS29416,6206155129,nsuarez@example.net,False
ORG120,PRAC1135,Paul,Hodge,1950-10-16,Male,ADRS29398,6579392835,adrienne78@example.net,True
ORG181,PRAC1143,Joshua,Reeves,1957-08-01,Female,ADRS28859,9353516432,ycraig@example.org,True
ORG150,PRAC1695,William,Johnson,1966-11-08,Female,ADRS27364,9605563057,luis42@example.com,True
ORG144,PRAC1868,David,Estrada,1957-05-01,Female,ADRS26275,7576954158,ellismichael@example.org,False
ORG153,PRAC1506,Christine,Reid,1989-06-26,Male,ADRS29961,7505688327,swallace@example.net,True
ORG141,PRAC1262,Rachel,Nguyen,2001-11-02,Female,ADRS28319,6944038351,christianmoreno@example.net,False
ORG166,PRAC1361,Reginald,West,1961-11-02,Female,ADRS27540,6158057545,olarson@example.org,True
ORG150,PRAC1591,Patricia,Simmons,1985-03-26,Female,ADRS29844,8484576295,cindybrown@example.com,True
ORG103,PRAC1928,Shirley,Mcmillan,2001-12-23,Male,ADRS28141,8324810986,wallacemegan@example.com,False
ORG136,PRAC1302,Christine,Rice,1964-03-18,Female,ADRS26891,8261840292,johnsonjoshua@example.org,True
ORG175,PRAC1895,James,Ferrell,2003-12-26,Female,ADRS29842,9197501089,lopezbrooke@example.net,False
ORG127,PRAC1977,Mary,Avila,1943-07-04,Male,ADRS27185,9672390568,kwilliams@example.com,True
ORG179,PRAC1380,Tara,Boyd,1945-03-23,Female,ADRS29990,7479700645,rpetersen@example.com,True
ORG190,PRAC1802,Denise,Scott,1993-01-27,Male,ADRS29208,7858941879,egraham@example.net,False
ORG105,PRAC1657,Matthew,Young,1954-04-07,Female,ADRS27350,6078240510,patricia02@example.com,False
ORG130,PRAC1331,Raymond,Moses,1991-10-09,Male,ADRS26111,8242477264,qbarnes@example.org,True
ORG113,PRAC1292,Lauren,Campos,1990-07-19,Female,ADRS28635,8035457779,ryan06@example.com,True
ORG186,PRAC1011,Ann,Baker,1979-07-27,Male,ADRS28967,9156133744,cruztimothy@example.org,False
ORG174,PRAC1546,April,Daniels,2003-04-28,Male,ADRS29079,7205650503,wchan@example.com,False
ORG185,PRAC1934,Angela,Martinez,1979-11-04,Female,ADRS28505,9446205340,lisa11@example.net,True
ORG142,PRAC1241,James,Howard,1946-08-10,Male,ADRS28611,7857744834,rmay@example.net,True
ORG161,PRAC1741,Audrey,Hernandez,1972-02-26,Male,ADRS28968,6608248242,johnsonreginald@example.net,False
ORG186,PRAC1091,Makayla,Osborn,1984-04-24,Female,ADRS27260,8309014819,vwilcox@example.org,True
ORG118,PRAC1108,Donald,Mcguire,1974-02-07,Male,ADRS26049,6296028527,thowe@example.org,False
ORG136,PRAC1240,Natalie,Ray,1979-02-25,Female,ADRS26280,7810591334,torreslinda@example.org,False
ORG156,PRAC1933,Elizabeth,Burton,1978-12-22,Male,ADRS28329,6241361007,burtonpaul@example.net,False
ORG141,PRAC1319,Patrick,Tapia,1979-11-13,Female,ADRS27275,8757482992,lisawhite@example.org,True
ORG184,PRAC1495,Jeremy,Brooks,1992-03-26,Female,ADRS26564,9989171915,kurt39@example.com,True
ORG153,PRAC1636,Sean,Johnson,2000-05-03,Female,ADRS26253,9192684798,ericparsons@example.net,False
